| Start | What                                                       | Who            |
| ----- | ---------------------------------------------------------- | -------------- |
| 9:30  | Registration/Coffee                                        | n/a            |
| 10:00 | Quick Intro                                                | Jo             |
| 10:15 | PostGIS at the Ordnance Survey                             | Tim Martin     |
| 10:45 | AWS for Megadata                                           | Andrew Zolnai  |
| 11:15 | Oracle Foreign Data Wrappers                               | Aileen Heal    |
| 12:15 | Using PostGIS to power an interactive dashboard            | Stephen Knox   |
| 12:45 | Lunch                                                      | n/a            |
| 13:30 | Towards a true 3D GIS                                      | Claire Ellul   |
| 14:15 | Raster processing in PostGIS                               | Dave Barter    |
| 14:30 | Map My Article                                             | Kevin Daniells |
| 14:45 | Loading...                                                 | Matt Walker    |
| 15:00 | Architecture and Triggers for data creation and management | Simon Miles    |
| 15:15 | Coffee                                                     | n/a            |
| 15:30 | How to build an audit in PostGIS                           | Andy Bailey    |
| 15:45 | Metadata in PostGIS                                        | Claire Ellul   |
| 16:00 | Discussion- useful utilities and where to get help         | Jo/Matt        |
